id,Location,Sex,TA,EDL,Gastroc,Soleus,Tibia,Mode,thick,delta_thick,thick_log,Thickness
206,UoA,M,49.4,8.3,117.3,6,16.18,140,11.99,15.139,1.078819183,0.971337227
207,UoA,M,53.8,9.5,120.3,7.1,16.69,163,13.959,23.128,1.144854307,1.130850404
208,UoA,M,44.9,8.4,105.7,6.1,16.95,149,12.023,12.338,1.080012847,0.974010632
209,UoA,M,44.7,7.4,102.8,6.5,16.49,141,12.017,14.842,1.079796061,0.973524558
210,UoA,M,49,9.3,107.2,7.9,16.84,141,16.001,14.844,1.204147125,1.296277478
211,UoA,M,45.5,8.7,110.3,6.5,16.5,152,13.984,14.306,1.145631415,1.132875711
212,UoA,M,44.9,9.5,116.6,6.8,16.7,133,15.976,13.857,1.203468052,1.294252171
213,UoA,M,38.3,7.7,103.8,6.7,16.75,156,12.026,17.659,1.0801212,0.974253669
214,UoA,M,51.8,,122.6,8.2,16.96,147,13.999,14.415,1.146097014,1.134090895
215,UoA,M,47,9.2,113.2,7.6,16.27,129,22.01,13.351,1.342620043,1.783080264
216,UoA,M,47.7,10.3,111,7.3,16,126,13.989,15.203,1.14578667,1.133280773
217,UoA,M,44.9,8.9,84.4,5.9,15.78,148,12.022,11.409,1.079976724,0.97392962
218,UoA,M,40.2,8.5,108.1,5.9,15.64,142,18,14.215,1.255272505,1.458221024
219,UoA,M,48.4,9.9,122.4,7.8,16.82,148,17.996,15.414,1.255175984,1.457896975
220,UoA,M,46.1,8.1,116.2,7.4,16.31,148,13.989,15.203,1.14578667,1.133280773
221,UoA,M,52,10.5,115.3,8.6,17.54,126,13.999,15.541,1.146097014,1.134090895
222,UoA,M,52.8,9,109.9,6.6,16.64,148,11.335,15.23,1.054421524,0.918274184
223,UoA,M,43.9,7.6,91.7,7.1,16.44,143,11.996,14,1.079036457,0.9718233
224,UoA,M,47.3,7.9,104.8,7.1,16.35,142,20.016,13.456,1.301377292,1.621541779
225,UoA,M,42.1,8.1,110.2,7.5,16.17,127,12.016,13.95,1.07975992,0.973443546
226,UoA,M,53.2,10.9,133.6,8.2,17.06,159,13.974,17.732,1.145320739,1.132065588
227,UoA,M,46.3,7.2,108.5,6.5,16.37,147,11.976,17.868,1.078311787,0.970203055
228,UoA,M,49.5,9,117.6,7.3,16.53,129,14.418,15.351,1.158905021,1.16803504
229,UoA,M,40.3,7.5,96.6,6.9,15.76,161,11.988,16.683,1.078746734,0.971175202
230,UoA,M,47.1,8.3,115.5,7.5,16.24,157,13.987,13.428,1.145724575,1.133118748
231,UoA,M,49.8,9.3,124.3,8.6,16.96,156,14.014,15.245,1.146562113,1.13530608
232,UoA,M,49.7,8.8,120.8,8.6,16.98,153,23.406,16,1.369327201,1.896173405
233,UoA,M,43.7,7.5,100.9,6.1,15.2,146,11.982,17.203,1.078529315,0.970689128
234,UoA,M,51.2,8.5,115.4,6.9,16.19,151,16.004,13.061,1.204228543,1.296520515
235,UoA,M,50.7,10.4,120.1,8.1,17.23,151,10.75,14.862,1.031408464,0.870882001
236,UoA,M,43.9,8.4,109.1,7.6,16.49,150,11.992,13.313,1.07889162,0.971499251
237,UoA,M,36.1,6.7,79.5,6.3,15.34,127,12.022,19.53,1.079976724,0.97392962
238,UoA,M,44.8,8.9,111.9,7.4,16.12,139,14.021,16.425,1.146778989,1.135873166
239,UoA,M,38.9,7.5,99.4,6.3,16.2,153,12.037,19.113,1.080518261,0.975144804
240,UoA,M,43,8.2,107.9,6.4,16.27,142,12.008,14.083,1.079470679,0.972795448
241,UoA,M,45.7,9.1,105,7.5,16.24,145,11.668,14,1.06699642,0.945251273
242,UoA,M,36.3,7,88.5,6.8,15.66,150,13.986,14.338,1.145693524,1.133037736
243,UoA,M,49.1,8.9,118.3,9.5,17.13,143,14.024,16.123,1.146871903,1.136116202
244,UoA,M,44.4,8,103.8,7.6,16.39,144,11.99,15.23,1.078819183,0.971337227
245,UoA,M,41.2,7.4,104.7,6.5,16.47,151,17.864,17.44,1.25197871,1.447203354
246,UoA,M,48.5,8,114.9,7.9,16.42,145,15.97,16.195,1.203304916,1.293766098
247,UoA,M,50.7,9.4,104,6.7,16.62,150,20.003,17.351,1.301095135,1.620488619
248,UoA,M,44,9.1,107.2,7,16.44,136,12.031,16,1.080301727,0.97465873
249,UoA,M,41.3,8.1,111.4,6,16.01,130,13.402,16.195,1.127169614,1.085726565
250,UoA,M,46.6,9.5,122.9,7.2,16.58,137,12.675,16.907,1.102947968,1.026830638
251,UoA,M,45.6,7.8,108.7,6.7,15.89,146,12.022,11.324,1.079976724,0.97392962
258,UoA,M,52.1,10.6,126.7,8.2,16.95,162,11.982,17.203,1.078529315,0.970689128
259,UoA,M,58.9,10.3,127.8,9.8,16.81,147,17.99,16.118,1.255031163,1.457410901
260,UoA,M,46.7,9.1,112.1,7.1,16.17,143,13.975,13.561,1.145351817,1.132146601
261,UoA,M,43.1,7.8,95.8,7.4,15.7,122,16.002,15.22,1.204174266,1.296358491
262,UoA,M,42.1,8.4,105.3,6.8,16.64,150,12.016,19.802,1.07975992,0.973443546
263,UoA,M,41.9,8.2,96.9,6.5,16.19,144,13.392,15.541,1.126845441,1.084916442
264,UoA,M,36.8,6.5,83.8,4.8,15.21,135,12.003,13.86,1.079289806,0.972390386
265,UoA,M,37.4,7.1,84.8,5.6,15.46,144,12.026,13.456,1.0801212,0.974253669
266,UoA,M,44.4,9,107.5,6.2,16.09,151,14.014,15.245,1.146562113,1.13530608
267,UoA,M,40.3,7.3,98.4,5.2,15.28,147,21.98,17.587,1.342027688,1.780649895
268,UoA,M,45.7,7.9,117.9,8.2,16.78,150,13.984,14.306,1.145631415,1.132875711
269,UoA,M,51.9,9.5,131.3,8.9,17.14,163,14.022,16.678,1.146809963,1.135954178
270,UoA,M,44.5,8.7,111.4,6.8,16.11,156,14.006,12.083,1.146314122,1.134657981
271,UoA,M,46.8,7.6,100.8,7.2,15.86,143,12.027,14,1.080157311,0.974334681
272,UoA,M,53,9.5,124.4,7.8,16.42,146,14.576,16.284,1.16363836,1.180834981
273,UoA,M,49.4,9.9,120,6.6,16.45,146,13.974,15.776,1.145320739,1.132065588
274,UoA,M,48.1,9.1,114.3,7.1,16.59,147,14.031,16,1.147088625,1.136683288
